ProductKey	sku	product_name	product_class_id	subcategory	category	department	product_family	size	brandName	supplier
1	42081001	Jambalaya Rice Mix	57	Rice	Starchy Foods	Starchy Foods	Food	12 oz	Zatarains	Rowan Warehouse
2	42082001	Jambalaya Rice Mix	57	Rice	Starchy Foods	Starchy Foods	Food	8 oz	Zatarains	Rowan Warehouse
3	42083001	Guacamole Regular	99	Fresh Fruit	Fruit	Produce	Food	8 oz	Yucatan	Rowan Warehouse
4	42084001	Coffee Original Blend	90	Coffee	Hot Beverages	Beverages	Drink	12 oz	Yuban	Rowan Warehouse
5	42085001	GoGurt Variety Pack	6	Yogurt	Dairy	Dairy	Food	8 ct	Yoplait	Rowan Warehouse
6	42086001	Italian Dressing	260	Dressings	Baking Goods	Baking Products	Food	16 oz	Wishbone	Rowan Warehouse
7	42087001	Cheeseburger Heat & Serve Sliders	65	Hamburger	Meat	Meat	Food	29.28 oz	White Castle	Rowan Warehouse
8	42088001	Choice Cuts Poultry	77	Fresh Chicken	Meat	Deli	Food	36 oz	Whiskas	Rowan Warehouse
9	42089001	Farmers Pick Concord Grape	99	Fresh Fruit	Fruit	Produce	Food	46 oz	Welchs	Rowan Warehouse
10	42090001	Juice Red Grape	30	Juice	Pure Juice Beverages	Beverages	Drink	64 oz	Welchs	Rowan Warehouse
11	42091001	Cereal Whole Grain Biscuit	35	Cereal	Breakfast Foods	Breakfast Foods	Food	15 oz	Weetabix	Rowan Warehouse
12	42092001	Shells & Cheese Microwave Cup	10	TV Dinner	Frozen Entrees	Frozen Foods	Food	2.39 oz	Velveeta	Rowan Warehouse
13	42093001	Shells & Cheese Original	5	Pasta	Starchy Foods	Starchy Foods	Food	12 oz	Velveeta	Rowan Warehouse
14	42094001	Splash Berry Blend	30	Juice	Pure Juice Beverages	Beverages	Drink	64 oz	V8	Rowan Warehouse
15	42095001	Splash Mango Peach	30	Juice	Pure Juice Beverages	Beverages	Drink	64 oz	V8	Rowan Warehouse
16	42096001	V-Fusion Berry	30	Juice	Pure Juice Beverages	Beverages	Drink	8 pkg	V8	Rowan Warehouse
17	42097001	V-Fusion Pomegranate Blueberry	30	Juice	Pure Juice Beverages	Beverages	Drink	46 oz	V8	Rowan Warehouse
18	42098001	V-Fusion Refreshers Peach Strawberry	30	Juice	Pure Juice Beverages	Beverages	Drink	46 oz	V8	Rowan Warehouse
19	42099001	Whole Grain Original Cereal	35	Cereal	Breakfast Foods	Breakfast Foods	Food	13 oz	Uncle Sam	Rowan Warehouse
20	42100001	Iced Tea Lemon	52	Flavored Drinks	Drinks	Beverages	Drink	128 oz	Turkey Hill	Rowan Warehouse
21	42101001	Orange Juice Some Pulp	30	Juice	Pure Juice Beverages	Beverages	Drink	89 oz	Tropicana	Rowan Warehouse
22	42102001	Trop50 Calcium	30	Juice	Pure Juice Beverages	Beverages	Drink	89 oz	Tropicana	Rowan Warehouse
23	42103001	Tri-State Almonds	1	Nuts	Specialty	Produce	Food	15.5	Tri-State	Rowan Warehouse
